173 -> 1187 # ('tile.bop.longGrass', 'BiomesOPlenty:longGrass', 'namespace') 
725 -> 3972 # ('tile.tinkerTable', 'powersuits:tile.tinkerTable', 'anyspace') 
726 -> 3973 # ('tile.luxCapacitor', 'powersuits:tile.luxCapacitor', 'anyspace') 
743 -> 1990 # ('tile.null______', 'redlogic.wire.id/RedLogic:redlogic.wire', 'direct') 
# 744 -> (None, 'tile.immibis/redlogic:lamp.cube.n', 'RedLogic:redlogic.lamp.cube.n', 'no match')
# 745 -> (None, 'tile.immibis/redlogic:lamp.cube.n_', 'RedLogic:redlogic.lamp.cube.n_', 'no match')
# 746 -> (None, 'tile.immibis/redlogic:lamp.cube.i', 'RedLogic:redlogic.lamp.cube.i', 'no match')
# 747 -> (None, 'tile.immibis/redlogic:lamp.cube.i_', 'RedLogic:redlogic.lamp.cube.i_', 'no match')
# 748 -> (None, 'tile.immibis/redlogic:lamp.cube.d', 'RedLogic:redlogic.lamp.cube.d', 'no match')
749 -> 1989 # ('tile.null_______', 'redlogic.gates.id/RedLogic:redlogic.gates', 'direct') 
750 -> 2492 # ('None', '1.2.5/RedPower2 appliance.id eloraam.base.BlockAppliance (alloy furnace, blulectric)/ihl:vacuumInductionMeltingFurnace', 'forced') 
751 -> 2773 # ('None', '1.2.5/tile.freezer/cfm.freezer', 'forced') 
765 -> 2502 # ('None', '1.2.5/RedPower2 eloraam.machine.BlockMachinePanel/ihl:gaedesMercuryRotaryPump', 'forced') 
770 -> 1840 # ('tile.enderIO:blockAlloySmelter', 'EnderIO:blockAlloySmelter', 'namespace') 
771 -> 1841 # ('tile.enderIO:blockCapacitorBank', 'EnderIO:blockCapacitorBank', 'namespace') 
772 -> 1885 # ('tile.enderIO:blockConduitBundle', 'EnderIO:blockConduitBundle', 'namespace') 
773 -> 1886 # ('tile.enderIO:blockConduitFacade', 'EnderIO:blockConduitFacade', 'namespace') 
# 774 -> (None, 'tile.enderIO:blockCrusher', 'EnderIO:blockCrusher', 'no match')
# 775 -> (None, 'tile.enderIO:blockCustomSlab', 'EnderIO:blockCustomSlab', 'no match')
776 -> 3351 # ('tile.enderIO:blockCustomFence', 'thebetweenlands:weedwoodPlankFence', 'manual') 
# 777 -> (None, 'tile.enderIO:blockCustomFenceGate', 'EnderIO:blockCustomFenceGate', 'no match')
# 778 -> (None, 'tile.enderIO:blockCustomSlab_', 'EnderIO:blockCustomSlab_', 'no match')
# 779 -> (None, 'tile.enderIO:blockCustomStair', 'EnderIO:blockCustomStair', 'no match')
# 780 -> (None, 'tile.enderIO:blockCustomWall', 'EnderIO:blockCustomWall', 'no match')
781 -> 1880 # ('tile.enderIO:blockElectricLight', 'EnderIO:blockElectricLight', 'namespace') 
782 -> 1864 # ('tile.enderIO:blockEnderIo', 'EnderIO:blockEnderIo', 'namespace') 
783 -> 1883 # ('tile.enderIO:blockFusedQuartz', 'EnderIO:blockFusedQuartz', 'namespace') 
784 -> 1857 # ('tile.enderIO:blockHyperCube', 'EnderIO:blockHyperCube', 'namespace') 
785 -> 1881 # ('tile.enderIO:blockLightNode', 'EnderIO:blockLightNode', 'namespace') 
786 -> 1843 # ('tile.enderIO:blockPainter', 'EnderIO:blockPainter', 'namespace') 
787 -> 1859 # ('tile.enderIO:blockReservoir', 'EnderIO:blockReservoir', 'namespace') 
789 -> 1838 # ('tile.enderIO:blockSolarPanel', 'EnderIO:blockSolarPanel', 'namespace') 
790 -> 1835 # ('tile.enderIO:blockStirlingGenerator', 'EnderIO:blockStirlingGenerator', 'namespace') 
# 830 -> (None, 'tile.mod_SRM.SecretWoodenDoorBlock', 'tile.mod_SRM.SecretWoodenDoorBlock', 'no match')
849 -> 2493 # ('tile.glassBell', 'ihl:glassBoxBlock', 'manual') 
# 850 -> (None, 'tile.calcinator', 'tile.calcinator', 'no match')
# 851 -> (None, 'tile.redWaterFlowing', 'tile.redWaterFlowing', 'no match')
# 852 -> (None, 'tile.redWaterStill', 'tile.redWaterStill', 'no match')
853 -> 2494 # ('tile.aludel', 'ihl:electrolysisBath', 'manual') 
# 854 -> (None, 'tile.alchemicalChest', 'tile.alchemicalChest', 'no match')
901 -> 3003 # ('tile.SC2BlockCargoManager', 'StevesCarts:BlockCargoManager', 'namespace') 
902 -> 3006 # ('tile.SC2BlockCartAssembler', 'StevesCarts:BlockCartAssembler', 'namespace') 
903 -> 3004 # ('tile.SC2BlockJunction', 'StevesCarts:BlockJunction', 'namespace') 
904 -> 3005 # ('tile.SC2BlockAdvDetector', 'StevesCarts:BlockAdvDetector', 'namespace') 
905 -> 3007 # ('tile.SC2BlockActivator', 'StevesCarts:BlockActivator', 'namespace') 
906 -> 3008 # ('tile.SC2BlockDistributor', 'StevesCarts:BlockDistributor', 'namespace') 
907 -> 3009 # ('tile.SC2BlockDetector', 'StevesCarts:BlockDetector', 'namespace') 
# 908 -> (None, 'tile.BlockUpgrade', 'tile.BlockUpgrade', 'no match')
909 -> 3011 # ('tile.SC2BlockLiquidManager', 'StevesCarts:BlockLiquidManager', 'namespace') 
# 910 -> (None, 'tile.null________', 'tile.null________', 'no match')
# 920 -> (None, 'tile.for.slabs3', 'Forestry:slabs3', 'no match')
921 -> 1407 # ('tile.for.pods', 'Forestry:pods', 'namespace') 
# 923 -> (None, 'tile.for.planks2', 'Forestry:planks2', 'no match')
# 924 -> (None, 'tile.null_________', 'tile.null_________', 'no match')
925 -> 1392 # ('tile.alveary', 'Forestry:alveary', 'anyspace') 
926 -> 1390 # ('tile.candle', 'Forestry:candle', 'anyspace') 
927 -> 1409 # ('tile.for.engine', 'Forestry:engine', 'namespace') 
929 -> 1397 # ('tile.for.fences', 'Forestry:fences', 'namespace') 
930 -> 1271 # ('None', '1.5.1/Forestry tile.firsapling/ExtrabiomesXL:saplings_1', 'forced') 
931 -> 2503 # ('None', '1.5.1/Forestry tile.harvester/ihl:labElectrolyzer', 'forced') 
933 -> 1406 # ('tile.leaves', 'Forestry:leaves', 'manual') 
934 -> 1393 # ('tile.for.log1', 'Forestry:logs', 'manual') 
935 -> 1399 # ('tile.for.log2', 'Forestry:logsFireproof', 'manual') 
936 -> 1393 # ('tile.for.log3', 'Forestry:logs', 'manual') 
937 -> 1393 # ('tile.for.log4', 'Forestry:logs', 'manual') 
938 -> 1410 # ('tile.for.factory', 'Forestry:factory', 'namespace') 
941 -> 1394 # ('tile.for.planks', 'Forestry:planks', 'manual') 
942 -> 2521 # ('None', '1.5.1/Forestry tile.planter/ihl:leadOven,2521', 'forced') 
943 -> 2524 # ('None', '1.5.1/Forestry forestry.cultivation.BlockSaplings/ihl:achesonFurnance', 'forced') 
944 -> 1405 # ('tile.saplingGE', 'Forestry:saplingGE', 'anyspace') 
945 -> 1395 # ('tile.for.slabs1', 'Forestry:slabs', 'manual') 
946 -> 1396 # ('tile.for.slabs2', 'Forestry:slabsDouble', 'manual') 
947 -> 1375 # ('tile.soil', 'Forestry:soil', 'anyspace') 
# 948 -> (None, 'tile.stained', 'tile.stained', 'no match')
949 -> 1391 # ('tile.stump', 'Forestry:stump', 'anyspace') 
951 -> 1398 # ('tile.for.stairs', 'Forestry:stairs', 'namespace') 
952 -> 1413 # ('tile.ffarm', 'Forestry:ffarm', 'manual') 
953 -> 1387 # ('tile.for.apiculture', 'Forestry:apiculture', 'namespace') 
954 -> 1374 # ('tile.for.core', 'Forestry:core', 'namespace') 
# 955 -> (None, 'tile.for.fences2', 'Forestry:fences2', 'no match')
# 956 -> (None, 'tile.for.log5', 'Forestry:log5', 'no match')
# 957 -> (None, 'tile.for.log6', 'Forestry:log6', 'no match')
958 -> 1415 # ('tile.for.mail', 'Forestry:mail', 'namespace') 
959 -> 1411 # ('tile.for.factory2', 'Forestry:factory2', 'namespace') 
960 -> 1210 # ('tile.hive', 'BiomesOPlenty:hive', 'anyspace') 
# 961 -> (None, 'tile.ectoplasm', 'tile.ectoplasm', 'no match')
# 965 -> (None, 'tile.extrabees.block.alveary', 'tile.extrabees.block.alveary', 'no match')
975 -> 2706 # ('tile.IronChest', 'IronChest:BlockIronChest', 'manual') 
1050 -> 1526 # ('tile.railcraft.cube', 'Railcraft:cube', 'namespace') 
1051 -> 1550 # ('tile.railcraft.detector', 'Railcraft:detector', 'namespace') 
1052 -> 1530 # ('tile.railcraft.track.elevator', 'Railcraft:track.elevator', 'namespace') 
1053 -> 1528 # ('tile.railcraft.machine.alpha', 'Railcraft:machine.alpha', 'namespace') 
1054 -> 1552 # ('tile.railcraft.machine.beta', 'Railcraft:machine.beta', 'namespace') 
1055 -> 1551 # ('tile.railcraft.machine.gamma', 'Railcraft:machine.gamma', 'namespace') 
1056 -> 1544 # ('tile.railcraft.post', 'Railcraft:post', 'namespace') 
1057 -> 1545 # ('tile.railcraft.post.metal', 'Railcraft:post.metal', 'namespace') 
1058 -> 1531 # ('tile.railcraft.signal', 'Railcraft:signal', 'namespace') 
1059 -> 1529 # ('tile.railcraft.track', 'Railcraft:track', 'namespace') 
1060 -> 1547 # ('tile.railcraft.wall.alpha', 'Railcraft:wall.alpha', 'namespace') 
1061 -> 1555 # ('tile.railcraft.worldlogic', 'Railcraft:worldlogic', 'namespace') 
1062 -> 1548 # ('tile.railcraft.wall.beta', 'Railcraft:wall.beta', 'namespace') 
1063 -> 1532 # ('tile.railcraft.stair', 'Railcraft:stair', 'namespace') 
1064 -> 1536 # ('tile.railcraft.brick.abyssal', 'Railcraft:brick.abyssal', 'namespace') 
1065 -> 1537 # ('tile.railcraft.brick.bleachedbone', 'Railcraft:brick.bleachedbone', 'namespace') 
1066 -> 1538 # ('tile.railcraft.brick.bloodstained', 'Railcraft:brick.bloodstained', 'namespace') 
1067 -> 1539 # ('tile.railcraft.brick.frostbound', 'Railcraft:brick.frostbound', 'namespace') 
1068 -> 1540 # ('tile.railcraft.brick.infernal', 'Railcraft:brick.infernal', 'namespace') 
1069 -> 1541 # ('tile.railcraft.brick.quarried', 'Railcraft:brick.quarried', 'namespace') 
1070 -> 1542 # ('tile.railcraft.brick.sandy', 'Railcraft:brick.sandy', 'namespace') 
1071 -> 1549 # ('tile.railcraft.glass', 'Railcraft:glass', 'namespace') 
1073 -> 1554 # ('tile.railcraft.ore', 'Railcraft:ore', 'namespace') 
1074 -> 1533 # ('tile.railcraft.slab', 'Railcraft:slab', 'namespace') 
1075 -> 3822 # ('tile.mod_SRM.SecretButton', 'ForgottenNature:falseBlock', 'manual') 
# 1076 -> (None, 'tile.mod_SRM.SecretChest', 'tile.mod_SRM.SecretChest', 'no match')
# 1077 -> (None, 'tile.mod_SRM.CamoGate', 'tile.mod_SRM.CamoGate', 'no match')
1079 -> 3822 # ('tile.mod_SRM.SecretIronDoorBlock', 'ForgottenNature:falseBlock', 'manual') 
# 1080 -> (None, 'tile.mod_SRM.SecretLever', 'tile.mod_SRM.SecretLever', 'no match')
# 1081 -> (None, 'tile.mod_SRM.SecretPressurePlate', 'tile.mod_SRM.SecretPressurePlate', 'no match')
1082 -> 3822 # ('tile.mod_SRM.SecretPlayerPlate', 'ForgottenNature:falseBlock', 'manual') 
1083 -> 3822 # ('tile.mod_SRM.SecretRedstone', 'ForgottenNature:falseBlock', 'manual') 
# 1084 -> (None, 'tile.mod_SRM.SecretStair', 'tile.mod_SRM.SecretStair', 'no match')
1085 -> 3822 # ('tile.mod_SRM.SecretTrapDoor', 'ForgottenNature:falseBlock', 'manual') 
1086 -> 3822 # ('None', '1.5.1/SecretRoomsMod tile.Secret Wooden Door/ForgottenNature:falseBlock', 'forced') 
1087 -> 3822 # ('tile.mod_SRM.GhostBlock', 'ForgottenNature:falseBlock', 'manual') 
1088 -> 2166 # ('tile.mod_SRM.OneWayGlass', 'ExtraUtilities:etherealglass', 'manual') 
1089 -> 3822 # ('tile.mod_SRM.TorchLever', 'ForgottenNature:falseBlock', 'manual') 
# 1090 -> (None, 'tile.mod_SRM.SecretTrappedChest', 'tile.mod_SRM.SecretTrappedChest', 'no match')
# 1091 -> (None, 'tile.mod_SRM.CamoDummy', 'tile.mod_SRM.CamoDummy', 'no match')
# 1092 -> (None, 'tile.mod_SRM.SecretLightDetector', 'tile.mod_SRM.SecretLightDetector', 'no match')
# 1093 -> (None, 'tile.mod_SRM.SecretHeavyPlate', 'tile.mod_SRM.SecretHeavyPlate', 'no match')
# 1094 -> (None, 'tile.mod_SRM.SecretLightPlate', 'tile.mod_SRM.SecretLightPlate', 'no match')
# 1095 -> (None, 'tile.mod_SRM.SolidAir', 'tile.mod_SRM.SolidAir', 'no match')
1100 -> 3974 # ('tile.PortalMod', 'PortalGun:Portal_BlockPortal', 'manual') 
# 1101 -> (None, 'tile.PortalMultiBlock', 'tile.PortalMultiBlock', 'no match')
# 1144 -> (None, 'tile.null__________', 'tile.null__________', 'no match')
# 1145 -> (None, 'tile.null___________', 'tile.null___________', 'no match')
1146 -> 2705 # ('tile.null____________', 'Immibis infinitubes.machine.id/InfiniTubes:infinitubes.machine', 'direct') 
1147 -> 2704 # ('tile.immibis/infinitubes:cable', 'InfiniTubes:infinitubes.infinitube', 'manual') 
1148 -> 2708 # ('tile.null_____________', 'Immibis liquidxp.machine.id/LiquidXP:liquidxp.machine', 'direct') 
1149 -> 2054 # ('tile.immibis/chunkloader:chunkloader', 'DimensionalAnchors:chunkloader', 'manual') 
1150 -> 3697 # ('tile.null______________', 'Immibis tubestuff.id/Tubestuff:machine', 'direct') 
1151 -> 3698 # ('tile.null_______________', 'Immibis tubestuff.storage.id/Tubestuff:storage', 'direct') 
1175 -> 2709 # ('tile.logisticsSolidBlock', 'LogisticsPipes:logisticsSolidBlock', 'anyspace') 
# 1176 -> (None, 'tile.null________________', 'tile.null________________', 'no match')
1225 -> 2007 # ('tile.cccomputer', 'OpenComputers:case1', 'manual') 
# 1226 -> (None, 'tile.ccdiskdrive', 'tile.ccdiskdrive', 'no match')
1227 -> 2031 # ('tile.ccturtle', 'OpenComputers:robot', 'manual') 
# 1228 -> (None, 'tile.ccturtle_', 'tile.ccturtle_', 'no match')
# 1229 -> (None, 'tile.cccable', 'tile.cccable', 'no match')
1275 -> 2833 # ('tile.myst.bookstand', 'Mystcraft:BlockBookstand', 'namespace') 
1276 -> 2837 # ('tile.myst.crystal', 'Mystcraft:BlockCrystal', 'namespace') 
1277 -> 2834 # ('tile.myst.lectern', 'Mystcraft:BlockLectern', 'namespace') 
# 1278 -> (None, 'tile.myst.linkmodifier', 'Mystcraft:BlockLinkmodifier', 'no match')
# 1279 -> (None, 'tile.myst.linkportal', 'Mystcraft:BlockLinkportal', 'no match')
# 1280 -> (None, 'tile.myst.receptacle', 'Mystcraft:BlockReceptacle', 'no match')
# 1281 -> (None, 'tile.myst.starfissure', 'Mystcraft:BlockStarfissure', 'no match')
# 1282 -> (None, 'tile.myst.unstable', 'Mystcraft:BlockUnstable', 'no match')
1283 -> 2839 # ('tile.myst.writing_desk', 'Mystcraft:WritingDesk', 'manual') 
1284 -> 2830 # ('tile.myst.inkmixer', 'Mystcraft:BlockInkMixer', 'manual') 
1285 -> 2831 # ('tile.myst.bookbinder', 'Mystcraft:BlockBookBinder', 'manual') 
1300 -> 1294 # ('tile.extrabiomes.stairs.acacia', 'ExtrabiomesXL:stairs.acacia', 'namespace') 
1301 -> 1259 # ('tile.extrabiomes.leaves', 'ExtrabiomesXL:leaves_1', 'manual') 
1302 -> 1260 # ('tile.extrabiomes.cattail', 'ExtrabiomesXL:plants4', 'manual') 
1303 -> 1273 # ('tile.extrabiomes.log', 'ExtrabiomesXL:log1', 'manual') 
1304 -> 1301 # ('tile.extrabiomes.redrockslab', 'ExtrabiomesXL:slabRedRock', 'manual') 
1305 -> 1290 # ('tile.extrabiomes.woodslab', 'ExtrabiomesXL:woodslab', 'manual') 
1306 -> 1293 # ('tile.extrabiomes.stairs.fir', 'ExtrabiomesXL:stairs.fir', 'namespace') 
1307 -> 1268 # ('tile.extrabiomes.flower', 'ExtrabiomesXL:leaves_3', 'manual') 
1308 -> 1267 # ('tile.extrabiomes.tallgrass', 'ExtrabiomesXL:leaves_2', 'manual') 
1309 -> 1266 # ('tile.extrabiomes.leaves_', 'ExtrabiomesXL:leaves_4', 'manual') 
1310 -> 1269 # ('tile.extrabiomes.leafpile', 'ExtrabiomesXL:leaf_pile', 'manual') 
1311 -> 1287 # ('tile.extrabiomes.planks', 'ExtrabiomesXL:planks', 'namespace') 
1312 -> 1276 # ('tile.extrabiomes.log.quarter', 'ExtrabiomesXL:cornerlog_baldcypress', 'manual') 
1313 -> 1277 # ('tile.extrabiomes.log.quarter_', 'ExtrabiomesXL:cornerlog_rainboweucalyptus', 'manual') 
1314 -> 1278 # ('tile.extrabiomes.log.quarter__', 'ExtrabiomesXL:cornerlog_oak', 'manual') 
